Category,C,P,I,TI,PSS,AHS,ATD,CT,TP,LOT,HW,ITS
Overall,87.73,87.21,87.08,86.95,86.81,86.29,83.29,85.9,78.08,85.77,86.42,86.42
CEO,93.94,NA,92.42,90.91,NA,92.42,89.39,NA,NA,NA,NA,NA
Government Officers,NA,89.36,NA,NA,NA,NA,NA,88.65,88.65,88.65,93.62,NA
Professors and Teachers,87.01,85.06,85.06,85.39,NA,NA,NA,NA,NA,NA,NA,85.39
Middle Management,NA,NA,NA,NA,92,94.4,NA,92,NA,91.4,NA,91.2
Others,NA,86.07,86.07,88.52,88.52,NA,NA,87.7,NA,NA,NA,NA
Northern,88.68,84.8,84.7,85.13,85.97,,,,,,,
Southern,94.44,91.19,92.34,93.07,82.42,,,,,,,
Eastern,81.11,78.8,78.61,85.74,88.24,,,,,,,
Western,84.96,88.62,87.59,84.56,88.28,,,,,,,
