Category,C,P,I,TI,PSS,AHS,ATD,CT,TP,LOT,HW,ITS
Overall,18.93,27.81,32.51,20.5,43.47,19.71,21.15,29.11,28.46,19.58,42.04,29.5
CEO,7.58,NA,21.21,13.64,NA,9.09,9.09,NA,NA,NA,NA,NA
Government Officers,NA,31.91,NA,NA,NA,NA,NA,31.21,30.5,27.66,45.39,NA
Professors and Teachers,15.26,23.38,29.55,16.23,NA,NA,NA,NA,NA,NA,NA,27.92
Middle Management,NA,NA,NA,28,48.8,23.2,NA,NA,NA,20,NA,24.8
Others,NA,35.25,42.62,28.69,50,NA,NA,35.25,NA,NA,NA,NA
Northern,18.61,28.24,30.06,19.87,39.58,,,,,,,
Southern,18.73,24.29,26.74,18.92,39.54,,,,,,,
Eastern,14.26,19.07,23.7,16.36,47.59,,,,,,,
Western,19.34,24.8,34.36,21.48,44,,,,,,,
